gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200225,True,CLE,17400,20.93,20,73,90,460,3,0,320,25,25,39,0.641,24,53,0.453,0.533,15,31,0.484
22200225,False,CHA,17400,21.69,44,54,94,528,3,5,378,24,18,44,0.409,26,66,0.394,0.4,21,30,0.7
22200226,True,PHI,14400,17.87,19,59,74,384,3,3,274,28,8,21,0.381,32,57,0.561,0.513,14,19,0.737
22200226,False,MIL,14400,17.94,22,45,63,377,4,4,257,22,17,33,0.515,24,57,0.421,0.456,6,12,0.5
22200227,True,CHI,14400,17.9,21,45,66,402,9,3,281,27,24,46,0.522,17,43,0.395,0.461,16,22,0.727
22200227,False,ORL,14400,18.03,18,62,78,414,3,2,302,25,13,31,0.419,25,46,0.543,0.494,19,31,0.613
22200228,True,HOU,14400,17.23,38,59,93,413,0,1,286,15,19,49,0.388,10,37,0.27,0.337,14,22,0.636
22200228,False,IND,14400,18.25,17,68,85,455,5,3,334,25,13,25,0.52,20,57,0.351,0.402,19,35,0.543
22200229,True,MEM,14400,18.73,31,73,102,434,2,7,306,26,20,47,0.426,19,46,0.413,0.419,22,35,0.629
22200229,False,OKC,14400,18.89,27,68,91,442,6,3,320,34,18,36,0.5,27,60,0.45,0.469,18,32,0.563
