gameid,home,team,playerid,name,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22200005,False,HOU,1626246,Boban Marjanovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200006,True,BKN,201142,Kevin Durant,1907.0,0.714,0.286,0.563,0.313,0.188,0.156,0.25,0.063,0.25,0.111,0.889,0.5,0.5,0.182,0.818
22200006,True,BKN,1626220,Royce O'Neale,2049.0,0.571,0.429,0.4,0.0,0.6,0.0,0.0,0.2,0.4,0.5,0.5,1.0,0.0,0.75,0.25
22200006,True,BKN,1629651,Nic Claxton,1486.0,1.0,0.0,0.923,0.0,0.0,0.0,0.077,0.231,0.923,0.833,0.167,0.0,0.0,0.833,0.167
22200006,True,BKN,202681,Kyrie Irving,2050.0,0.684,0.316,0.8,0.133,0.0,0.0,0.2,0.2,0.667,0.167,0.833,0.0,0.0,0.167,0.833
22200006,True,BKN,1627732,Ben Simmons,1390.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22200006,True,BKN,1630549,Day'Ron Sharpe,1351.0,0.875,0.125,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0
22200006,True,BKN,201988,Patty Mills,1361.0,0.1,0.9,0.125,0.125,0.75,0.188,0.125,0.188,0.0,1.0,0.0,0.75,0.25,0.8,0.2
22200006,True,BKN,1628410,Edmond Sumner,1133.0,0.4,0.6,0.667,0.0,0.0,1.0,0.333,0.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0
22200006,True,BKN,202693,Markieff Morris,164.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200006,True,BKN,1630560,Cam Thomas,763.0,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22200006,True,BKN,1629139,Yuta Watanabe,514.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200006,True,BKN,1630556,Kessler Edwards,232.0,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200006,True,BKN,1630561,David Duke Jr.,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
