gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22201048,True,ATL,14400,0.59,0.41,0.488,0.063,0.378,0.173,0.134,0.165,0.425,0.484,0.516,0.75,0.25,0.574,0.426
22201048,False,GSW,14400,0.592,0.408,0.605,0.034,0.277,0.143,0.118,0.076,0.571,0.556,0.444,0.727,0.273,0.596,0.404
22201049,True,CLE,14400,0.782,0.218,0.752,0.085,0.103,0.145,0.145,0.179,0.667,0.614,0.386,1.0,0.0,0.646,0.354
22201049,False,WAS,14400,0.697,0.303,0.574,0.064,0.255,0.074,0.17,0.085,0.511,0.593,0.407,0.75,0.25,0.629,0.371
22201050,True,CHI,17400,0.745,0.255,0.576,0.144,0.237,0.101,0.187,0.129,0.432,0.35,0.65,0.818,0.182,0.451,0.549
22201050,False,MIN,17400,0.58,0.42,0.427,0.046,0.412,0.099,0.16,0.122,0.382,0.607,0.393,0.889,0.111,0.717,0.283
22201051,True,HOU,14400,0.636,0.364,0.561,0.035,0.289,0.167,0.149,0.158,0.526,0.344,0.656,0.818,0.182,0.465,0.535
22201051,False,NOP,14400,0.659,0.341,0.482,0.071,0.321,0.232,0.196,0.196,0.411,0.407,0.593,0.917,0.083,0.564,0.436
22201052,True,SAS,15900,0.469,0.531,0.317,0.017,0.5,0.042,0.183,0.125,0.3,0.684,0.316,0.9,0.1,0.795,0.205
22201052,False,MEM,15900,0.624,0.376,0.556,0.079,0.333,0.056,0.111,0.143,0.476,0.429,0.571,0.857,0.143,0.551,0.449
22201053,True,POR,14400,0.519,0.481,0.429,0.089,0.375,0.214,0.196,0.17,0.339,0.5,0.5,0.571,0.429,0.526,0.474
22201053,False,BOS,14400,0.517,0.483,0.413,0.016,0.357,0.143,0.23,0.222,0.397,0.577,0.423,0.933,0.067,0.707,0.293
22201054,True,LAL,14400,0.762,0.238,0.691,0.2,0.136,0.073,0.173,0.118,0.491,0.474,0.526,1.0,0.0,0.535,0.465
22201054,False,DAL,14400,0.57,0.43,0.432,0.054,0.432,0.153,0.135,0.171,0.378,0.625,0.375,0.75,0.25,0.675,0.325
22201055,True,NYK,14400,0.614,0.386,0.552,0.069,0.233,0.095,0.216,0.147,0.483,0.469,0.531,0.889,0.111,0.561,0.439
22201055,False,DEN,14400,0.607,0.393,0.564,0.127,0.327,0.1,0.109,0.136,0.436,0.581,0.419,1.0,0.0,0.698,0.302
22201056,True,LAC,14400,0.756,0.244,0.667,0.13,0.167,0.093,0.167,0.213,0.537,0.528,0.472,0.667,0.333,0.548,0.452
22201056,False,ORL,14400,0.631,0.369,0.566,0.053,0.265,0.106,0.168,0.115,0.513,0.469,0.531,0.8,0.2,0.548,0.452
22201057,True,IND,14400,0.644,0.356,0.545,0.066,0.298,0.174,0.157,0.066,0.479,0.485,0.515,1.0,0.0,0.622,0.378
22201057,False,PHI,14400,0.602,0.398,0.553,0.113,0.319,0.156,0.128,0.163,0.44,0.487,0.513,0.8,0.2,0.574,0.426
22201058,True,TOR,14400,0.7,0.3,0.639,0.115,0.221,0.148,0.139,0.139,0.525,0.385,0.615,0.889,0.111,0.479,0.521
22201058,False,MIN,14400,0.729,0.271,0.636,0.037,0.14,0.15,0.224,0.159,0.598,0.647,0.353,1.0,0.0,0.692,0.308
22201059,True,WAS,14400,0.604,0.396,0.475,0.136,0.331,0.034,0.195,0.068,0.339,0.607,0.393,0.769,0.231,0.659,0.341
22201059,False,SAC,14400,0.57,0.43,0.394,0.03,0.5,0.098,0.106,0.106,0.364,0.538,0.462,0.909,0.091,0.708,0.292
22201060,True,CHI,14400,0.575,0.425,0.496,0.124,0.451,0.097,0.053,0.195,0.372,0.679,0.321,0.882,0.118,0.756,0.244
22201060,False,MIA,14400,0.549,0.451,0.505,0.162,0.303,0.051,0.192,0.111,0.343,0.56,0.44,0.9,0.1,0.657,0.343
22201061,True,MEM,14400,0.6,0.4,0.511,0.06,0.406,0.158,0.083,0.12,0.451,0.618,0.382,0.778,0.222,0.673,0.327
22201061,False,GSW,14400,0.615,0.385,0.437,0.067,0.328,0.067,0.235,0.101,0.37,0.615,0.385,0.846,0.154,0.692,0.308
22201062,True,UTA,14400,0.577,0.423,0.424,0.017,0.432,0.102,0.144,0.102,0.407,0.6,0.4,0.824,0.176,0.69,0.31
22201062,False,BOS,14400,0.42,0.58,0.342,0.085,0.564,0.077,0.094,0.094,0.256,0.55,0.45,0.864,0.136,0.714,0.286
22201063,True,BKN,14400,0.573,0.427,0.51,0.098,0.353,0.069,0.137,0.216,0.412,0.538,0.462,1.0,0.0,0.684,0.316
22201063,False,DEN,14400,0.713,0.288,0.556,0.074,0.333,0.065,0.111,0.139,0.481,0.633,0.367,1.0,0.0,0.738,0.262
22201064,True,OKC,14400,0.667,0.333,0.5,0.048,0.266,0.226,0.234,0.25,0.452,0.355,0.645,0.818,0.182,0.476,0.524
22201064,False,PHX,14400,0.609,0.391,0.483,0.15,0.375,0.15,0.142,0.15,0.333,0.621,0.379,0.867,0.133,0.705,0.295
22201065,True,SAS,14400,0.702,0.298,0.587,0.095,0.333,0.095,0.079,0.087,0.492,0.405,0.595,0.786,0.214,0.51,0.49
22201065,False,ATL,14400,0.782,0.218,0.729,0.22,0.127,0.093,0.144,0.085,0.508,0.395,0.605,0.8,0.2,0.438,0.563
